# Pin Out For ECP5UM-25,,,,,,,
# Revision 1.0,,,,,,,
"# Revised Nov. 2, 2015",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,D12
0,VCCIO0,0,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,D7
0,VCCIO1,1,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,G5
0,VCCIO2,2,-,-,-,-,H5
0,VCCIO2,2,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,M5
0,VCCIO3,3,-,-,-,-,N5
0,VCCIO3,3,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,-
0,GND,-,GND,-,-,-,R1
0,GND,-,GND,-,-,-,R2
0,GND,-,GND,-,-,-,T2
0,GND,-,GND,-,-,-,U2
0,GND,-,GND,-,-,-,T3
0,GND,-,GND,-,-,-,U3
0,GND,-,GND,-,-,-,T4
0,GND,-,GND,-,-,-,U4
0,GND,-,GND,-,-,-,V4
0,GND,-,GND,-,-,-,U5
0,GND,-,GND,-,-,-,P6
0,GND,-,GND,-,-,-,T6
0,GND,-,GND,-,-,-,T7
0,GND,-,GND,-,-,-,U7
0,GND,-,GND,-,-,-,V7
0,GND,-,GND,-,-,-,P8
0,GND,-,GND,-,-,-,T8
0,GND,-,GND,-,-,-,T9
0,GND,-,GND,-,-,-,U9
0,GND,-,GND,-,-,-,T10
0,GND,-,GND,-,-,-,U10
0,GND,-,GND,-,-,-,V10
0,GND,-,GND,-,-,-,T11
0,GND,-,GND,-,-,-,U11
0,GND,-,GND,-,-,-,P12
0,GND,-,GND,-,-,-,T12
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,GND,-,GND,-,-,-,-
0,VCCA0,-,-,-,-,-,P10
0,VCCA0,-,-,-,-,-,R10
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,R3
0,VCCAUXA0,-,-,-,-,-,P5
0,VCCAUXA0,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,N13
0,VCCIO8,8,-,-,-,-,P14
0,VCCIO8,8,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,M14
0,VCCIO6,6,-,-,-,-,N14
0,VCCIO6,6,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,G14
0,VCCIO7,7,-,-,-,-,H14
0,VCCIO7,7,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
